Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
8,34,81.0641019494411,5161.15655694329,191.949010048424,44469.5803876192,14.717813914909
9,34,81.1106729738138,5167.08839076578,191.949010048424,44469.5803876192,14.717813914909
10,34,81.1570469979087,5172.99851756549,191.949010048424,44469.5803876192,14.717813914909
11,34,81.2032102453264,5178.88513706055,191.949010048424,44469.5803876192,14.717813914909
12,34,81.2491490255112,5184.74645612963,191.949010048424,44469.5803876192,14.717813914909
13,34,81.2948497374188,5190.58068935815,191.949010048424,44469.5803876192,14.717813914909
14,34,81.3402988731327,5196.38605958218,191.949010048424,44469.5803876192,14.717813914909
15,34,81.3854830214316,5202.16079842969,191.949010048424,44469.5803876192,14.717813914909
5,35,81.9286433477396,5271.83013483711,196.747735299634,45581.3198973097,14.717813914909
6,35,81.9763067614691,5277.96587691462,196.747735299634,45581.3198973097,14.717813914909
7,35,82.023813053826,5284.08494356687,196.747735299634,45581.3198973097,14.717813914909
8,35,82.0711480393147,5290.18547086687,196.747735299634,45581.3198973097,14.717813914909
9,35,82.1182976079119,5296.26560053493,196.747735299634,45581.3198973097,14.717813914909
10,35,82.165247728929,5302.32348050463,196.747735299634,45581.3198973097,14.717813914909
11,35,82.2119844548247,5308.35726548706,196.747735299634,45581.3198973097,14.717813914909
12,35,82.2584939249679,5314.36511753287,196.747735299634,45581.3198973097,14.717813914909
13,35,82.3047623693504,5320.34520659211,196.747735299634,45581.3198973097,14.717813914909
14,35,82.3507761122494,5326.29571107173,196.747735299634,45581.3198973097,14.717813914909
15,35,82.3965215758379,5332.21481839043,196.747735299634,45581.3198973097,14.717813914909
5,36,82.9217540720264,5400.41135763801,201.546460550845,46693.0594070002,14.717813914909
6,36,82.9699952451988,5406.69675196132,201.546460550845,46693.0594070002,14.717813914909
7,36,83.0180773924275,5412.96506414167,201.546460550845,46693.0594070002,14.717813914909
8,36,83.0659861562652,5419.21438479045,201.546460550845,46693.0594070002,14.717813914909
9,36,83.113707255652,5425.44281030407,201.546460550845,46693.0594070002,14.717813914909
10,36,83.161226489824,5431.64844344377,201.546460550845,46693.0594070002,14.717813914909
11,36,83.2085297421725,5437.82939391358,201.546460550845,46693.0594070002,14.717813914909
12,36,83.2556029840528,5443.98377893611,201.546460550845,46693.0594070002,14.717813914909
13,36,83.3024322785414,5450.10972382606,201.546460550845,46693.0594070002,14.717813914909
14,36,83.349003784143,5456.20536256129,201.546460550845,46693.0594070002,14.717813914909
15,36,83.395303758445,5462.26883835117,201.546460550845,46693.0594070002,14.717813914909
5,37,83.903110764513,5528.99258043892,206.345185802055,47804.7989166907,14.717813914909
6,37,83.9519228590157,5535.42762700801,206.345185802055,47804.7989166907,14.717813914909
7,37,84.0005740455454,5541.84518471647,206.345185802055,47804.7989166907,14.717813914909
8,37,84.0490497967382,5548.24329871404,206.345185802055,47804.7989166907,14.717813914909
9,37,84.0973356625217,5554.62002007322,206.345185802055,47804.7989166907,14.717813914909
10,37,84.1454172740698,5560.9734063829,206.345185802055,47804.7989166907,14.717813914909
11,37,84.1932803477075,5567.30152234009,206.345185802055,47804.7989166907,14.717813914909
12,37,84.2409106887649,5573.60244033935,206.345185802055,47804.7989166907,14.717813914909
13,37,84.2882941953787,5579.87424106002,206.345185802055,47804.7989166907,14.717813914909
14,37,84.3354168622433,5586.11501405084,206.345185802055,47804.7989166907,14.717813914909
15,37,84.3822647843082,5592.32285831191,206.345185802055,47804.7989166907,14.717813914909
5,38,84.8731211488222,5657.57380323982,211.143911053266,48916.5384263812,14.717813914909
6,38,84.9224975637431,5664.15850205471,211.143911053266,48916.5384263812,14.717813914909
7,38,84.9717112104212,5670.72530529127,211.143911053266,48916.5384263812,14.717813914909
8,38,85.020747393541,5677.27221263762,211.143911053266,48916.5384263812,14.717813914909
